level,block,type,label
0,324,⭐,HH01_01
0,225,⭐,HH01_02
0,152,⭐,HH01_03
0,329,⭐,HH01_04
0,334,⭐,HH01_05
0,334,⭐,HH01_18
0,145,⭐,HH01_06
0,145,⭐,HH01_12
0,104,⭐,HH01_07
0,48,⭐,HH01_08
0,48,⭐,HH02_16
0,300,⭐,HH01_09
0,300,⭐,HH01_23
0,332,⭐,HH01_10
0,332,⭐,SS08_01
0,190,⭐,HH01_11
0,190,⭐,HH01_19
0,190,⭐,HH01_21
0,19,⭐,HH01_13
0,19,⭐,HH02_19
0,257,⭐,HH01_14
0,257,⭐,HH02_05
0,336,⭐,HH01_15
0,336,⭐,SS15_03
0,336,⭐,SS15_05
0,336,⭐,SS15_07
0,204,⭐,HH01_17
0,220,⭐,HH01_20
0,285,⭐,HH01_22
0,58,⭐,HH01_24
0,58,⭐,HH02_22
0,175,⭐,HH02_01
0,96,⭐,HH02_02
0,96,⭐,HH02_09
0,96,⭐,HH02_10
0,245,⭐,HH02_03
0,281,⭐,HH02_04
0,122,⭐,HH02_06
0,274,⭐,HH02_07
0,302,⭐,HH02_08
0,248,⭐,HH02_11
0,195,⭐,HH02_12
0,138,⭐,HH02_13
0,219,⭐,HH02_14
0,168,⭐,HH02_15
0,304,⭐,HH02_17
0,291,⭐,HH02_18
0,144,⭐,HH02_20
0,50,⭐,HH02_21
0,151,⭐,HH02_23
0,84,⭐,HH02_24
0,215,⭐,SH12_01
0,323,⭐,SH12_02
0,323,⭐,SH13_05
0,323,⭐,SS15_01
0,323,⭐,SS15_06
0,3,⭐,SH12_03
0,61,⭐,SH12_04
0,61,⭐,SH15_07
0,243,⭐,SH13_06
0,243,⭐,SH15_06
0,59,⭐,SH13_07
0,59,⭐,SH13_08
0,59,⭐,SH13_09
0,59,⭐,SH13_10
0,214,⭐,SH15_01
0,214,⭐,SS14_09
0,214,⭐,SS14_10
0,142,⭐,SH15_02
0,142,⭐,SH15_05
0,313,⭐,SH15_03
0,337,⭐,SH15_04
0,268,⭐,SH15_08
0,79,⭐,SH15_09
